Wall time,Step,Value
1618074506.892471,3069,30.462852478027344
1618074507.69359,3071,30.566741943359375
1618074512.102483,3082,30.55116844177246
1618074513.737021,3086,30.550954818725586
1618074529.885332,3099,30.536090850830078
1618074539.276705,3122,30.441627502441406
1618074545.376104,3137,30.22602653503418
1618074545.785821,3138,30.215341567993164
1618074548.316606,3144,30.453384399414062
1618074548.732056,3145,30.456806182861328
1618074549.589419,3147,30.225994110107422
1618074550.865962,3150,30.463289260864258
1618074553.00111,3155,30.459716796875
1618074554.709804,3159,30.47277069091797
1618074555.551457,3161,30.390687942504883
1618074562.058292,3177,29.911298751831055
1618074566.539805,3188,30.040075302124023
1618074569.392447,3195,30.412029266357422
1618074569.800933,3196,30.23164939880371
1618074583.446281,3203,30.065614700317383
1618074584.670352,3206,29.995861053466797
1618074594.481011,3230,30.388473510742188
1618074595.69839,3233,30.186939239501953
1618074598.546063,3240,30.298341751098633
1618074599.777055,3243,30.246747970581055
1618074600.196425,3244,30.209918975830078
1618074601.018119,3246,30.122713088989258
1618074601.428361,3247,30.35459327697754
1618074604.302792,3254,30.02317237854004
1618074609.669825,3267,30.21690559387207
1618074611.745588,3272,30.43866729736328
1618074615.540286,3281,30.3319149017334
1618074616.364592,3283,30.306907653808594
1618074617.201971,3285,30.401094436645508
1618074620.115106,3292,30.12558937072754
1618074636.212752,3305,30.184236526489258
1618074637.017083,3307,30.11650848388672
1618074639.455533,3313,30.345657348632812
1618074642.701761,3321,30.481203079223633
1618074645.123293,3327,30.361156463623047
1618074645.546443,3328,30.398332595825195
1618074647.591126,3333,30.31490707397461
1618074649.647661,3338,30.3764591217041
1618074652.543389,3345,30.118255615234375
1618074655.843339,3353,30.388521194458008
1618074657.504744,3357,30.411640167236328
1618074659.155651,3361,30.279617309570312
1618074664.485668,3374,30.392717361450195
1618074665.308524,3376,30.461259841918945
1618074666.126879,3378,30.37291717529297
1618074667.361336,3381,30.357757568359375
1618074669.415582,3386,30.373334884643555
1618074687.224387,3403,30.14665412902832
1618074689.268545,3408,30.295076370239258
1618074696.586767,3426,30.0340633392334
1618074698.239916,3430,30.40328598022461
1618074699.476257,3433,30.470264434814453
1618074701.536406,3438,30.407194137573242
1618074704.412897,3445,30.05447769165039
1618074706.062087,3449,30.059310913085938
1618074706.90212,3451,30.106287002563477
1618074709.360044,3457,30.21082878112793
1618074709.772863,3458,30.257972717285156
1618074712.308566,3464,30.320751190185547
1618074715.176589,3471,30.155807495117188
1618074717.626403,3477,30.234634399414062
1618074718.853217,3480,30.06049346923828
1618074721.291747,3486,30.301359176635742
1618074725.765917,3497,30.08919334411621
1618074737.468947,3499,30.156532287597656
1618074741.602625,3509,30.0618839263916
1618074742.810789,3512,30.071584701538086
1618074743.623116,3514,30.052448272705078
1618074745.712519,3519,30.178009033203125
1618074752.239495,3535,30.32407569885254
1618074753.050433,3537,30.25787925720215
